countyName,pop2010,pctfor,turnout,medage,divorced,churches,obama08,mccain08,pctrural,edu_baorup,medinc,col_enrol,age18-24,age25-59,age60up,colleges,students,white,black,popden,pctw,pctb,pctd,churchden,pctba,pctstud,pct18-24,pct25-59,pct60up,colden,pctcolenrol,MaleBachelor,MaleMaster,MaleProfessional,MaleDoctorate,FemaleBachelor,FemaleMaster,FemaleProfessional,FemaleDoctorate,pctmb,pctmm,pctmp,pctmd,pctfb,pctfm,pctfp,pctfd,Owneroccupied,Renteroccupied,pctown,pctrent,evanrate
caswell,23714,69.412,32.68,43.72,980,80,51,48,99.19,1892,36927,1292,1753,11587,5533,0,0,14819,8020,55.666667,0.624905119,0.338196846,0.041325799,0.003373535,0.079784094,0,0.073922577,0.488614321,0.233322088,0,0.054482584,557,221,14,24,686,317,37,36,0.023488235,0.009319389,0.000590369,0.00101206,0.028928059,0.013367631,0.00156026,0.001518091,6605,2183,0.278527452,0.092055326,176.27
catawba,154354,74.22092,34.81,39.64,8821,354,37,62,30.3,20079,43484,8114,12600,73466,31605,2,6491,126151,13041,385.885,0.817283647,0.084487606,0.057147855,0.002293429,0.130084092,0.042052684,0.081630538,0.475957863,0.204756598,1.30E-05,0.052567475,6931,1879,759,357,7240,2434,285,194,0.044903274,0.012173316,0.004917268,0.002312865,0.046905166,0.015768947,0.001846405,0.001256851,42547,16704,0.275645594,0.10821877,338.39
chatham,63806,46.133694,46.95,43.76,2791,154,55,45,65.92,15460,56038,2643,4011,29459,16486,0,0,48237,8392,93.420205,0.755994734,0.131523681,0.043741968,0.002413566,0.242296963,0,0.062862427,0.461696392,0.258376955,0,0.041422437,4033,1801,784,807,4820,2579,460,176,0.063207222,0.028226186,0.012287246,0.012647713,0.075541485,0.040419396,0.007209353,0.002758361,19687,5190,0.308544651,0.081340313,244.63
cherokee,27433,78.156624,29.96,48.23,1163,91,30,69,100,3220,38144,1066,1626,11709,8834,1,1119,25700,350,60.292308,0.936827908,0.012758357,0.042394197,0.003317173,0.117376882,0.040790289,0.05927168,0.426821711,0.322020924,3.65E-05,0.038858309,1035,393,206,50,880,502,131,23,0.037728283,0.014325812,0.007509204,0.001822622,0.032078154,0.018299129,0.004775271,0.000838406,9569,1928,0.348813473,0.070280319,333.26
chowan,14763,74.93404,28.93,44.9,729,55,49,50,67.62,1575,36761,929,1030,6409,4031,0,0,9174,5070,85.33526,0.621418411,0.343426133,0.049380207,0.00372553,0.106685633,0,0.069769017,0.434125855,0.273047484,0,0.062927589,383,118,147,24,729,103,71,0,0.025943236,0.007992955,0.009957326,0.001625686,0.049380207,0.006976902,0.004809321,0,4039,1865,0.273589379,0.126329337,269.92
clay,10580,74.170334,28.07,49.61,523,43,32,67,100,1462,35109,482,633,4451,3522,0,0,10231,0,49.209302,0.967013233,0,0.049432892,0.004064272,0.138185255,0,0.059829868,0.420699433,0.33289225,0,0.045557656,493,140,56,42,486,231,14,0,0.046597353,0.013232514,0.005293006,0.003969754,0.045935728,0.021833648,0.001323251,0,3756,754,0.355009452,0.071266541,767.55
cleveland,98020,80.15762,36.92,40.43,5025,320,40,60,55.79,10300,38208,6589,9032,44960,21133,2,6756,74123,20332,211.25,0.756202816,0.207427056,0.051265048,0.00326464,0.105080596,0.068924709,0.09214446,0.458681902,0.215598857,2.04E-05,0.067220975,3340,818,407,332,3660,1439,184,120,0.034074679,0.008345236,0.004152214,0.003387064,0.037339319,0.014680677,0.001877168,0.00122424,25976,11703,0.265007141,0.119394001,448.59
columbus,57971,85.06254,35.62,39.86,2358,269,46,54,80.59,4599,35421,2371,4933,26890,12664,1,1814,35735,17713,61.86873,0.616428904,0.305549326,0.04067551,0.004640251,0.07933277,0.031291508,0.085094271,0.463852616,0.218454055,1.73E-05,0.04089976,1346,356,203,70,1882,535,130,77,0.023218506,0.006141002,0.003501751,0.0012075,0.032464508,0.009228752,0.002242501,0.00132825,15671,6108,0.270324818,0.105363026,435.09
craven,104170,64.424484,28.14,36.26,4445,261,43,57,27.71,13680,44599,6189,12503,45230,22124,1,3039,72441,23193,149.66954,0.695411347,0.222645675,0.042670635,0.00250552,0.131323798,0.029173466,0.120024959,0.434194106,0.212383604,9.60E-06,0.059412499,4362,1630,498,285,4755,1910,118,122,0.04187386,0.015647499,0.004780647,0.002735912,0.045646539,0.018335413,0.001132764,0.001171163,25524,14678,0.245022559,0.140904291,228.71
cumberland,327348,69.534454,25.16,31.26,17545,731,59,41,13.37,40909,43834,29336,41080,153235,45780,3,18169,164064,11711,501.298622,0.501191393,0.035775383,0.053597395,0.002233097,0.124970979,0.055503623,0.125493359,0.46811039,0.139851168,9.16E-06,0.089617166,11978,4187,1701,749,15089,6059,801,345,0.036591029,0.012790669,0.005196305,0.002288085,0.046094676,0.018509354,0.002446937,0.001053924,68516,48795,0.209306304,0.149061549,285.60
currituck,23652,67.79617,22.85,41.4,899,42,34,66,98.31,2751,55376,1059,1697,11867,4505,0,0,21268,1361,90.274809,0.899205141,0.057542703,0.038009471,0.001775748,0.116311517,0,0.071748689,0.501733469,0.190470151,0,0.044774226,1102,299,77,16,839,383,35,0,0.046592254,0.012641637,0.003255539,0.000676476,0.035472687,0.016193134,0.00147979,0,7729,1667,0.326779976,0.070480298,191.19
dare,34015,49.39,29.99,43.65,2071,78,44,55,28.96,7918,53889,1076,2201,17229,7792,0,0,31313,834,89.044503,0.920564457,0.024518595,0.060884904,0.002293106,0.232779656,0,0.064706747,0.506511833,0.229075408,0,0.031633103,2574,855,266,87,2827,1053,193,63,0.075672497,0.025135969,0.007820079,0.002557695,0.083110392,0.030956931,0.005673967,0.001852124,11032,4433,0.324327503,0.130324857,118.60
davidson,162874,74.58191,33.11,40.42,7685,418,33,67,47.38,17882,44249,6914,12238,78154,33765,1,3123,137359,14421,3132.192308,0.843345163,0.088540835,0.047183713,0.002566401,0.10979039,0.019174331,0.075137837,0.479843314,0.207307489,6.14E-06,0.042449992,5786,1543,659,274,7147,2030,299,144,0.035524393,0.009473581,0.004046072,0.001682282,0.043880546,0.012463622,0.001835775,0.000884119,47230,17254,0.289978757,0.105934649,201.72
davie,41333,72.793755,44.66,42.59,1657,126,30,69,70.29,6650,49727,1770,2667,19289,9658,0,0,36100,2593,155.973585,0.87339414,0.062734377,0.040089033,0.003048412,0.160888394,0,0.064524714,0.466673118,0.233663175,0,0.042822926,1968,769,248,286,2482,724,138,35,0.047613287,0.018604989,0.006000048,0.006919411,0.060048871,0.01751627,0.003338737,0.000846781,13223,2609,0.31991387,0.063121477,250.70
duplin,58728,78.15931,32.84,37.87,2241,205,45,55,86.46,3763,32816,2728,5000,26920,11924,1,1390,33449,14773,71.794621,0.569557962,0.251549516,0.03815897,0.003490669,0.064075058,0.023668438,0.085138265,0.458384416,0.203037733,1.70E-05,0.046451437,1070,332,71,17,1719,491,11,52,0.018219589,0.005653181,0.001208963,0.00028947,0.029270535,0.008360578,0.000187304,0.000885438,14802,6167,0.252043318,0.105009535,192.84
durham,268412,30.235294,38.83,33.27,12277,464,76,24,5.63,74609,49894,31164,32269,136248,39298,4,27862,124274,10157,922.378007,0.462997183,0.03784108,0.045739386,0.001728686,0.277964473,0.103803109,0.120221898,0.507607708,0.146409251,1.49E-05,0.116105092,17547,7855,2908,4422,24241,11869,2714,3053,0.065373381,0.029264712,0.010834091,0.016474673,0.090312654,0.044219334,0.010111321,0.011374305,58488,46713,0.21790382,0.174034693,213.77
edgecombe,56583,70.33235,31.77,39.76,2863,206,67,33,45.31,3747,32665,2945,4941,26020,11802,1,2426,21923,32435,112.045545,0.387448527,0.573228708,0.050598236,0.003640669,0.066221303,0.042875068,0.087323048,0.459855434,0.208578548,1.77E-05,0.052047435,1150,205,87,58,1713,407,120,7,0.020324126,0.003622996,0.001537564,0.001025043,0.030274111,0.007192973,0.002120778,0.000123712,13580,8021,0.240001414,0.141756358,307.72
forsyth,351378,52.594997,34.35,37.26,17418,697,55,44,7.35,70383,46749,25555,35376,165287,65372,7,21616,218517,91227,857.019512,0.621885832,0.259626385,0.049570548,0.001983619,0.200305654,0.061517796,0.100677902,0.470396553,0.186044658,1.99E-05,0.072727945,21530,6276,3233,1827,25617,9367,1537,996,0.061273045,0.017861107,0.009200918,0.005199529,0.072904394,0.026657901,0.004374207,0.002834554,90028,46584,0.256214106,0.132575175,286.38
